通,B-SideEff
种,0
其,0
他,0
降,0
糖,0
药,0
物,0
联,0
合,0
应,0
用,0
",",0
但,0
不,0
宜,0
和,0
列,B-Drug
奈,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
联,0
合,0
"
",0
使,0
用,0
。,0
长,0
期,0
使,0
用,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
治,0
疗,0
的,0
患,0
者,0
",",0
应,0
严,0
密,0
监,0
测,0
有,0
无,0
低,B-SideEff
血,I-SideEff
糖,I-SideEff
和,0
体,B-SideEff
重,I-SideEff
增,I-SideEff
加,I-SideEff
"
",0
A,0
"
",0
2,0
-,0
2,0
 ,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
分,0
为,0
短,B-Drug
效,I-Drug
制,I-Drug
剂,I-Drug
和,I-Drug
中,I-Drug
、,I-Drug
长,I-Drug
效,I-Drug
制,I-Drug
剂,I-Drug
。,0
以,0
餐,B-Symptom
后,I-Symptom
血,I-Symptom
糖,I-Symptom
升,I-Symptom
高,I-Symptom
为,0
主,0
的,0
患,0
者,0
",",0
宜,0
选,0
择,0
短,B-Drug
效,I-Drug
制,I-Drug
剂,I-Drug
;,0
以,0
空,B-Symptom
腹,I-Symptom
血,I-Symptom
糖,I-Symptom
升,I-Symptom
高,I-Symptom
为,0
"
",0
主,0
的,0
患,0
者,0
或,0
空,B-Symptom
腹,I-Symptom
、,I-Symptom
餐,I-Symptom
后,I-Symptom
血,I-Symptom
糖,I-Symptom
均,I-Symptom
高,I-Symptom
者,0
",",0
宜,0
选,0
择,0
中,B-Drug
、,I-Drug
长,I-Drug
效,I-Drug
制,I-Drug
剂,I-Drug
"
",0
B,0
"
",0
2,0
-,0
3,0
 ,0
服,0
用,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
时,0
宜,0
从,0
小,0
剂,0
量,0
开,0
始,0
",",0
根,0
据,0
血,B-Test
糖,I-Test
监,0
测,0
结,0
果,0
逐,0
渐,0
调,0
整,0
用,0
量,0
",",0
一,0
般,0
每,B-Frequency
1,I-Frequency
~,I-Frequency
2,I-Frequency
周,I-Frequency
调,0
整,0
一,0
次,0
。,0
任,0
何,0
一,0
种,0
磺,B-Drug
"
",I-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
的,0
每,0
日,0
用,0
量,0
不,0
应,0
超,0
过,0
其,0
最,0
大,0
剂,0
量,0
"
",0
B,0
"
",0
2,0
-,0
4,0
 ,0
不,0
常,0
规,0
推,0
荐,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
联,0
合,0
胰,B-Drug
岛,I-Drug
素,I-Drug
治,0
疗,0
T,B-Disease
2,I-Disease
D,I-Disease
M,I-Disease
;,0
胰,B-Anatomy
岛,I-Anatomy
细,I-Anatomy
胞,I-Anatomy
尚,0
有,0
部,0
分,0
分,0
泌,0
功,0
能,0
的,0
T,B-Disease
2,I-Disease
D,I-Disease
M,I-Disease
患,0
者,0
可,0
考,0
虑,0
使,0
用,0
磺,B-Drug
脲,I-Drug
类,I-Drug
"
",I-Drug
药,I-Drug
物,I-Drug
联,0
合,0
基,B-Drug
础,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
治,0
疗,0
",",0
但,0
需,0
要,0
特,0
别,0
注,0
意,0
体,B-SideEff
重,I-SideEff
增,I-SideEff
加,I-SideEff
和,0
低,B-SideEff
血,I-SideEff
糖,I-SideEff
"
",0
C,0
"
",0
3,0
 ,0
 ,0
特,0
殊,0
人,0
群,0
用,0
药,0
"
",0
3,0
-,0
1,0
 ,0
重,B-Disease
度,I-Disease
肝,I-Disease
损,I-Disease
害,I-Disease
(,0
A,B-Test
L,I-Test
T,I-Test
>,0
8,B-Test_Value
~,I-Test_Value
1,I-Test_Value
0,I-Test_Value
倍,I-Test_Value
参,I-Test_Value
考,I-Test_Value
值,I-Test_Value
上,I-Test_Value
限,I-Test_Value
或,0
者,0
A,B-Test
L,I-Test
T,I-Test
>,0
3,B-Test_Value
倍,I-Test_Value
参,I-Test_Value
考,I-Test_Value
值,I-Test_Value
上,I-Test_Value
限,I-Test_Value
且,0
T,B-Test
B,I-Test
I,I-Test
L,I-Test
>,0
2,B-Test_Value
倍,I-Test_Value
参,I-Test_Value
考,I-Test_Value
值,I-Test_Value
上,I-Test_Value
限,I-Test_Value
),0
者,0
禁,0
用,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
 ,0
A,0
"
",0
3,0
-,0
2,0
 ,0
格,B-Drug
列,I-Drug
喹,I-Drug
酮,I-Drug
可,0
用,0
于,0
C,B-Disease
K,I-Disease
D,I-Disease
 ,0
1,B-Level
~,I-Level
3,I-Level
期,I-Level
患,0
者,0
",",0
4,B-Level
期,I-Level
用,0
药,0
经,0
验,0
有,0
限,0
",",0
5,B-Level
期,I-Level
禁,0
用,0
;,0
格,B-Drug
列,I-Drug
美,I-Drug
脲,I-Drug
可,0
用,0
于,0
C,B-Disease
K,I-Disease
D,I-Disease
 ,0
1,B-Level
~,I-Level
2,I-Level
期,I-Level
患,0
者,0
",",0
3,B-Level
a,I-Level
期,I-Level
减,0
"
",0
量,0
",",0
3,B-Level
b,I-Level
~,I-Level
5,I-Level
期,I-Level
禁,0
用,0
;,0
格,B-Drug
列,I-Drug
齐,I-Drug
特,I-Drug
和,0
格,B-Drug
列,I-Drug
吡,I-Drug
嗪,I-Drug
可,0
用,0
于,0
C,B-Disease
K,I-Disease
D,I-Disease
 ,0
1,B-Level
~,I-Level
2,I-Level
期,I-Level
患,0
者,0
",",0
3,B-Level
期,I-Level
减,0
量,0
或,0
慎,0
用,0
",",0
4,B-Level
~,I-Level
5,I-Level
期,I-Level
禁,0
用,0
;,0
格,B-Drug
列,I-Drug
本,I-Drug
脲,I-Drug
仅,0
可,0
"
",0
用,0
于,0
C,B-Disease
K,I-Disease
D,I-Disease
 ,0
1,B-Level
~,I-Level
2,I-Level
期,I-Level
患,0
者,0
",",0
3,B-Level
~,I-Level
5,I-Level
期,I-Level
禁,0
用,0
"
",0
B,0
"
",0
3,0
-,0
3,0
 ,0
老,0
年,0
患,0
者,0
如,0
需,0
联,0
合,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
治,0
疗,0
",",0
宜,0
选,0
择,0
降,0
糖,0
作,0
用,0
温,0
和,0
、,0
作,0
用,0
时,0
间,0
短,0
、,0
低,B-SideEff
血,I-SideEff
糖,I-SideEff
风,0
险,0
小,0
的,0
药,0
物,0
",",0
避,0
免,0
使,0
用,0
格,B-Drug
列,I-Drug
本,I-Drug
脲,I-Drug
 ,I-Drug
B,I-Drug
"
",0
3,0
-,0
4,0
 ,0
在,0
我,0
国,0
",",0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
禁,0
用,0
于,0
妊,B-Disease
娠,I-Disease
期,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
、,0
儿,0
童,0
和,0
青,0
少,0
年,0
T,B-Disease
2,I-Disease
D,I-Disease
M,I-Disease
以,0
及,0
T,B-Disease
1,I-Disease
D,I-Disease
M,I-Disease
患,0
者,0
 ,0
A,0
"
",0
4,0
 ,0
 ,0
安,0
全,0
性,0
"
",0
4,0
-,0
1,0
 ,0
不,0
同,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
的,0
作,0
用,0
机,0
制,0
及,0
剂,0
型,0
存,0
在,0
差,0
异,0
",",0
低,B-SideEff
血,I-SideEff
糖,I-SideEff
发,0
生,0
率,0
也,0
不,0
同,0
",",0
其,0
中,0
格,B-Drug
列,I-Drug
本,I-Drug
脲,I-Drug
导,0
致,0
低,B-Disease
血,I-Disease
糖,I-Disease
的,0
发,0
生,0
风,0
险,0
较,0
高,0
 ,0
A,0
"
",0
4,0
-,0
2,0
 ,0
不,0
同,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
单,0
药,0
治,0
疗,0
对,0
体,B-Test
重,I-Test
的,0
影,0
响,0
存,0
在,0
差,0
异,0
",",0
改,B-Drug
良,I-Drug
剂,I-Drug
型,I-Drug
对,0
体,B-Test
重,I-Test
的,0
影,0
响,0
较,0
小,0
。,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
与,0
具,0
有,0
减,0
重,0
作,0
用,0
"
",0
的,0
药,0
物,0
联,0
合,0
使,0
用,0
",",0
这,0
一,0
不,0
良,0
反,0
应,0
可,0
能,0
会,0
被,0
完,0
全,0
或,0
部,0
分,0
抵,0
消,0
",",0
但,0
与,0
G,B-Drug
L,I-Drug
P,I-Drug
-,I-Drug
1,I-Drug
受,I-Drug
体,I-Drug
激,I-Drug
动,I-Drug
剂,I-Drug
或,0
D,B-Drug
P,I-Drug
P,I-Drug
-,I-Drug
4,I-Drug
抑,I-Drug
制,I-Drug
剂,I-Drug
联,0
用,0
明,0
显,0
增,0
"
",0
加,0
低,B-SideEff
血,I-SideEff
糖,I-SideEff
发,0
生,0
风,0
险,0
"
",0
B,0
"
",0
4,0
-,0
3,0
 ,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
的,0
心,0
血,0
管,0
安,0
全,0
性,0
尚,0
需,0
设,0
计,0
优,0
良,0
的,0
前,0
瞻,0
性,0
随,0
机,0
对,0
照,0
研,0
究,0
加,0
以,0
证,0
实,0
 ,0
C,0
"
",0
4,0
-,0
4,0
 ,0
目,0
前,0
尚,0
无,0
直,0
接,0
证,0
据,0
表,0
明,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
治,0
疗,0
与,0
β,B-Reason
细,I-Reason
胞,I-Reason
功,I-Reason
能,I-Reason
衰,I-Reason
退,I-Reason
有,0
关,0
 ,0
C,0
"
",0
推,0
荐,0
级,0
别,0
:,0
A,0
:,0
强,0
力,0
推,0
荐,0
。,0
证,0
据,0
肯,0
定,0
",",0
能,0
够,0
改,0
善,0
健,0
康,0
结,0
局,0
",",0
利,0
大,0
于,0
弊,0
。,0
B,0
:,0
推,0
荐,0
。,0
有,0
较,0
好,0
证,0
据,0
",",0
能,0
够,0
改,0
善,0
健,0
康,0
结,0
局,0
",",0
利,0
大,0
于,0
弊,0
。,0
C,0
:,0
不,0
作,0
为,0
常,0
规,0
推,0
荐,0
。,0
有,0
证,0
"
",0
据,0
能,0
够,0
改,0
善,0
健,0
康,0
结,0
局,0
",",0
但,0
无,0
法,0
明,0
确,0
风,0
险,0
获,0
益,0
比,0
。,0
D,0
:,0
不,0
推,0
荐,0
。,0
证,0
据,0
不,0
足,0
或,0
对,0
健,0
康,0
结,0
局,0
弊,0
大,0
于,0
利,0
"
",0
疗,0
或,0
二,B-Drug
甲,I-Drug
双,I-Drug
胍,I-Drug
治,0
疗,0
血,B-Test
糖,I-Test
控,0
制,0
不,0
佳,0
时,0
的,0
联,0
合,0
用,0
药,0
之,0
"
",0
一,0
。,0
2,0
0,0
1,0
4,0
年,0
国,0
际,0
糖,0
尿,0
病,0
联,0
盟,0
(,0
I,0
n,0
t,0
e,0
r,0
n,0
a,0
t,0
i,0
o,0
n,0
a,0
l,0
 ,0
D,0
i,0
a,0
b,0
e,0
t,0
e,0
s,0
"
",0
F,0
e,0
d,0
e,0
r,0
a,0
t,0
i,0
o,0
n,0
",",0
I,0
D,0
F,0
),0
全,0
球,0
T,B-Disease
2,I-Disease
D,I-Disease
M,I-Disease
指,0
南,0
[,0
2,0
],0
同,0
样,0
将,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
"
",I-Drug
物,I-Drug
作,0
为,0
不,0
适,0
合,0
二,B-Drug
甲,I-Drug
双,I-Drug
胍,I-Drug
治,0
疗,0
的,0
患,0
者,0
的,0
一,0
线,0
备,0
选,0
和,0
"
",0
二,0
线,0
首,0
选,0
药,0
物,0
。,0
2,0
0,0
1,0
6,0
年,0
美,0
国,0
临,0
床,0
内,0
分,0
泌,0
医,0
师,0
协,0
会,0
"
",0
(,0
A,0
m,0
e,0
r,0
i,0
c,0
a,0
n,0
 ,0
A,0
s,0
s,0
o,0
c,0
i,0
a,0
t,0
i,0
o,0
n,0
 ,0
o,0
f,0
 ,0
C,0
l,0
i,0
n,0
i,0
c,0
a,0
l,0
 ,0
E,0
n,0
d,0
o,0
c,0
r,0
i,0
n,0
o,0
l,0
o,0
g,0
i,0
s,0
t,0
s,0
",",0
"
",0
A,0
A,0
C,0
E,0
),0
和,0
美,0
国,0
内,0
分,0
泌,0
学,0
会,0
(,0
A,0
m,0
e,0
r,0
i,0
c,0
a,0
n,0
 ,0
C,0
o,0
l,0
l,0
e,0
g,0
e,0
 ,0
o,0
f,0
"
",0
E,0
n,0
d,0
o,0
c,0
r,0
 ,0
i,0
n,0
o,0
 ,0
l,0
o,0
g,0
y,0
",",0
A,0
C,0
E,0
),0
指,0
南,0
[,0
3,0
],0
将,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
列,0
为,0
"
",0
T,0
2,0
D,0
 ,0
M,0
的,0
一,0
线,0
治,0
疗,0
药,0
物,0
之,0
一,0
",",0
但,0
给,0
予,0
谨,0
慎,0
使,0
用,0
的,0
"
",0
标,0
识,0
。,0
2,0
0,0
1,0
6,0
年,0
美,0
国,0
糖,0
尿,0
病,0
学,0
会,0
(,0
A,0
m,0
e,0
r,0
i,0
c,0
a,0
n,0
 ,0
D,0
i,0
a,0
b,0
e,0
t,0
e,0
s,0
"
",0
A,0
s,0
s,0
o,0
c,0
 ,0
i,0
a,0
 ,0
t,0
 ,0
i,0
o,0
n,0
",",0
A,0
D,0
A,0
),0
指,0
南,0
 ,0
[,0
4,0
],0
则,0
推,0
荐,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
为,0
"
",0
T,B-Disease
2,I-Disease
D,I-Disease
M,I-Disease
患,0
者,0
二,B-Drug
甲,I-Drug
双,I-Drug
胍,I-Drug
治,0
疗,0
后,0
的,0
二,0
线,0
药,0
物,0
。,0
因,0
此,0
",",0
磺,B-Drug
"
",I-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
目,0
前,0
仍,0
是,0
临,0
床,0
上,0
治,0
疗,0
T,B-Disease
2,I-Disease
D,I-Disease
M,I-Disease
的,0
常,0
用,0
口,0
服,0
药,0
"
",0
物,0
之,0
一,0
",",0
具,0
有,0
相,0
当,0
重,0
要,0
的,0
临,0
床,0
地,0
位,0
。,0
"
",0
2,0
0,0
1,0
7,0
-,0
1,0
[,0
4,0
],0
.,0
i,0
n,0
d,0
d,0
 ,0
 ,0
 ,0
6,0
 ,0
2,0
0,0
1,0
7,0
/,0
3,0
/,0
2,0
 ,0
 ,0
 ,0
1,0
9,0
:,0
1,0
0,0
:,0
2,0
5,0
"
",0
1,0
.,0
2,0
 ,0
哪,0
些,0
情,0
况,0
下,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
可,0
以,0
作,0
为,0
治,0
疗,0
T,B-Disease
2,I-Disease
D,I-Disease
M,I-Disease
的,0
一,0
"
",0
线,0
选,0
择,0
?,0
"
",0
中,0
国,0
大,0
规,0
模,0
横,0
断,0
面,0
调,0
查,0
研,0
究,0
[,0
5,0
],0
发,0
现,0
",",0
口,B-Drug
服,I-Drug
降,I-Drug
糖,I-Drug
"
",I-Drug
药,I-Drug
治,0
疗,0
仍,0
是,0
治,0
疗,0
T,B-Disease
2,I-Disease
D,I-Disease
M,I-Disease
的,0
主,0
要,0
降,0
糖,0
方,0
案,0
。,0
虽,0
然,0
二,B-Drug
甲,I-Drug
双,I-Drug
"
",I-Drug
胍,I-Drug
被,0
多,0
数,0
指,0
南,0
推,0
荐,0
为,0
治,0
疗,0
T,B-Disease
2,I-Disease
D,I-Disease
M,I-Disease
的,0
一,0
线,0
用,0
药,0
[,0
2,0
],0
",",0
但,0
对,0
于,0
"
",0
二,B-Disease
甲,I-Disease
双,I-Disease
胍,I-Disease
不,I-Disease
耐,I-Disease
受,I-Disease
或,I-Disease
存,I-Disease
在,I-Disease
禁,I-Disease
忌,I-Disease
证,I-Disease
的,0
患,0
者,0
[,0
1,0
],0
",",0
可,0
以,0
考,0
虑,0
"
",0
将,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
作,0
为,0
一,0
线,0
用,0
药,0
。,0
"
",0
对,0
于,0
新,0
诊,0
断,0
的,0
糖,B-Test
化,I-Test
血,I-Test
红,I-Test
蛋,I-Test
白,I-Test
(,0
h,0
e,0
m,0
o,0
g,0
l,0
o,0
b,0
i,0
n,0
 ,0
A,0
1,0
c,0
",",0
"
",0
H,B-Test
B,I-Test
A,I-Test
1,I-Test
C,I-Test
),0
>,0
7,B-Test_Value
.,I-Test_Value
5,I-Test_Value
%,I-Test_Value
的,0
T,B-Disease
2,I-Disease
D,I-Disease
M,I-Disease
患,0
者,0
",",0
可,0
以,0
选,0
择,0
作,0
用,0
机,0
制,0
互,0
"
",0
补,0
的,0
两,0
种,0
降,0
糖,0
药,0
物,0
联,0
合,0
应,0
用,0
[,0
3,0
],0
。,0
结,0
合,0
中,0
国,0
国,0
情,0
和,0
中,0
"
",0
国,0
T,B-Disease
2,I-Disease
D,I-Disease
M,I-Disease
患,0
者,0
的,0
特,0
点,0
",",0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
联,0
合,0
二,B-Drug
甲,I-Drug
双,I-Drug
胍,I-Drug
是,0
"
",0
推,0
荐,0
的,0
联,0
合,0
治,0
疗,0
方,0
案,0
之,0
一,0
。,0
"
",0
1,0
.,0
3,0
 ,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
可,0
否,0
用,0
于,0
超,B-Symptom
重,I-Symptom
或,I-Symptom
肥,I-Symptom
胖,I-Symptom
的,0
T,B-Disease
2,I-Disease
D,I-Disease
M,I-Disease
患,0
者,0
?,0
"
",0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
可,0
引,0
起,0
患,0
者,0
体,B-SideEff
重,I-SideEff
增,I-SideEff
加,I-SideEff
",",0
但,0
超,B-Symptom
重,I-Symptom
或,0
"
",0
肥,B-Symptom
胖,I-Symptom
并,0
不,0
是,0
其,0
治,0
疗,0
的,0
禁,0
忌,0
证,0
。,0
不,0
同,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
单,0
"
",0
药,0
治,0
疗,0
对,0
患,0
者,0
体,B-Test
重,I-Test
的,0
影,0
响,0
存,0
在,0
差,0
异,0
",",0
改,B-Drug
良,I-Drug
剂,I-Drug
型,I-Drug
对,0
患,0
"
",0
者,0
体,B-Test
重,I-Test
的,0
影,0
响,0
较,0
小,0
。,0
临,0
床,0
研,0
究,0
显,0
示,0
",",0
传,0
统,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
"
",I-Drug
物,I-Drug
(,0
如,0
氯,B-Drug
磺,I-Drug
丙,I-Drug
脲,I-Drug
、,I-Drug
格,I-Drug
列,I-Drug
本,I-Drug
脲,I-Drug
),0
对,0
肥,B-Disease
胖,I-Disease
患,0
者,0
体,B-Test
重,I-Test
影,0
响,0
较,0
"
",0
大,0
",",0
治,0
疗,0
3,0
年,0
平,0
均,0
约,0
增,0
加,0
3,B-Test_Value
~,I-Test_Value
5,I-Test_Value
k,I-Test_Value
g,0
[,0
6,0
],0
;,0
新,0
的,0
品,0
种,0
(,0
如,0
格,B-Drug
"
",I-Drug
列,I-Drug
美,I-Drug
脲,I-Drug
),0
和,0
剂,0
型,0
(,0
如,0
格,B-Drug
列,I-Drug
齐,I-Drug
特,I-Drug
缓,I-Drug
释,I-Drug
片,I-Drug
),0
对,0
患,0
者,0
体,B-Test
重,I-Test
影,0
响,0
"
",0
较,0
小,0
(,0
平,0
均,0
增,0
加,0
0,B-Test_Value
.,I-Test_Value
4,I-Test_Value
~,I-Test_Value
0,I-Test_Value
.,I-Test_Value
6,I-Test_Value
k,I-Test_Value
g,I-Test_Value
),0
[,0
7,0
",",0
8,0
],0
。,0
由,0
于,0
二,B-Drug
甲,I-Drug
双,I-Drug
胍,I-Drug
、,0
阿,B-Drug
卡,I-Drug
"
",I-Drug
波,I-Drug
糖,I-Drug
、,0
钠,B-Drug
-,I-Drug
葡,I-Drug
萄,I-Drug
糖,I-Drug
协,I-Drug
同,I-Drug
转,I-Drug
运,I-Drug
蛋,I-Drug
白,I-Drug
2,I-Drug
(,0
s,0
o,0
d,0
i,0
u,0
m,0
-,0
g,0
l,0
u,0
c,0
o,0
s,0
e,0
 ,0
c,0
o,0
-,0
"
",0
t,0
r,0
a,0
n,0
s,0
p,0
o,0
r,0
t,0
e,0
r,0
 ,0
2,0
",",0
S,0
G,0
L,0
T,0
-,0
2,0
),0
抑,0
制,0
剂,0
等,0
具,0
有,0
减,0
轻,0
体,B-Test
重,I-Test
的,0
作,0
"
",0
用,0
",",0
对,0
于,0
超,B-Disease
重,I-Disease
或,0
肥,B-Disease
胖,I-Disease
患,0
者,0
",",0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
与,0
此,0
类,0
药,0
物,0
联,0
"
",0
合,0
使,0
用,0
",",0
可,0
减,0
少,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
带,0
来,0
的,0
体,B-SideEff
重,I-SideEff
增,I-SideEff
加,I-SideEff
的,0
风,0
险,0
。,0
"
",0
2,0
 ,0
作,0
用,0
机,0
制,0
"
",0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
改,0
善,0
高,B-Disease
血,I-Disease
糖,I-Disease
的,0
机,0
制,0
包,0
括,0
:,0
①,0
刺,0
激,0
胰,B-Anatomy
"
",I-Anatomy
岛,I-Anatomy
β,I-Anatomy
细,I-Anatomy
胞,I-Anatomy
分,0
泌,0
胰,B-Anatomy
岛,I-Anatomy
素,I-Anatomy
",",0
包,0
括,0
依,B-Reason
赖,I-Reason
K,I-Reason
 ,I-Reason
A,I-Reason
T,I-Reason
P,I-Reason
通,I-Reason
道,I-Reason
和,I-Reason
不,I-Reason
依,I-Reason
赖,I-Reason
"
",I-Reason
K,I-Reason
 ,I-Reason
A,I-Reason
T,I-Reason
P,I-Reason
通,I-Reason
道,I-Reason
刺,I-Reason
激,I-Reason
胰,I-Reason
岛,I-Reason
β,I-Reason
细,I-Reason
胞,I-Reason
分,I-Reason
泌,I-Reason
胰,I-Reason
岛,I-Reason
素,I-Reason
"
",0
[,0
9,0
],0
。,0
格,B-Drug
列,I-Drug
美,I-Drug
脲,I-Drug
"
",0
可,0
能,0
具,0
有,0
葡,B-Reason
萄,I-Reason
糖,I-Reason
依,I-Reason
赖,I-Reason
性,I-Reason
的,I-Reason
促,I-Reason
胰,I-Reason
岛,I-Reason
素,I-Reason
分,I-Reason
泌,I-Reason
作,I-Reason
用,I-Reason
[,0
1,0
0,0
",",0
1,0
1,0
],0
。,0
"
",0
②,0
部,0
分,0
胰,B-Reason
岛,I-Reason
素,I-Reason
增,I-Reason
敏,I-Reason
作,I-Reason
用,I-Reason
。,0
人,B-Test
体,I-Test
葡,I-Test
萄,I-Test
糖,I-Test
钳,I-Test
夹,I-Test
试,I-Test
验,I-Test
表,0
"
",0
明,0
",",0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
可,0
使,0
外,B-Test
周,I-Test
葡,I-Test
萄,I-Test
糖,I-Test
利,I-Test
用,I-Test
率,I-Test
增,0
加,0
1,B-Test_Value
0,I-Test_Value
%,I-Test_Value
~,I-Test_Value
"
",I-Test_Value
5,I-Test_Value
2,I-Test_Value
%,I-Test_Value
(,I-Test_Value
平,I-Test_Value
均,I-Test_Value
2,I-Test_Value
9,I-Test_Value
%,I-Test_Value
),I-Test_Value
。,0
"
",0
3,0
 ,0
临,0
床,0
疗,0
效,0
"
",0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
单,0
药,0
治,0
疗,0
可,0
使,0
H,B-Test
B,I-Test
A,I-Test
1,I-Test
C,I-Test
下,0
降,0
1,B-Test_Value
%,I-Test_Value
~,I-Test_Value
2,I-Test_Value
%,I-Test_Value
",",0
"
",0
降,0
糖,0
作,0
用,0
在,0
常,0
规,0
剂,0
量,0
内,0
呈,0
剂,0
量,0
依,0
赖,0
性,0
",",0
且,0
患,0
者,0
基,0
线,0
"
",0
H,B-Test
B,I-Test
A,I-Test
1,I-Test
C,I-Test
越,B-Test_Value
高,I-Test_Value
",",0
H,B-Test
b,I-Test
A,I-Test
1,I-Test
c,I-Test
降,B-Test_Value
幅,I-Test_Value
越,I-Test_Value
大,I-Test_Value
。,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
可,0
以,0
与,0
多,0
"
",0
种,0
其,0
他,0
降,0
糖,0
药,0
物,0
联,0
合,0
应,0
用,0
",",0
并,0
且,0
可,0
以,0
作,0
为,0
治,0
疗,0
方,0
案,0
"
",0
的,0
基,0
础,0
用,0
药,0
之,0
一,0
长,0
期,0
使,0
用,0
[,0
1,0
2,0
-,0
1,0
5,0
],0
。,0
长,0
期,0
使,0
用,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
"
",I-Drug
物,I-Drug
治,0
疗,0
的,0
患,0
者,0
应,0
严,0
密,0
监,0
测,0
有,0
无,0
低,B-SideEff
血,I-SideEff
糖,I-SideEff
和,0
体,B-SideEff
重,I-SideEff
增,I-SideEff
加,I-SideEff
。,0
"
",0
应,0
用,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
治,0
疗,0
的,0
患,0
者,0
需,0
要,0
有,0
一,0
定,0
的,0
胰,B-Anatomy
岛,I-Anatomy
"
",0
功,0
能,0
。,0
糖,B-Disease
尿,I-Disease
病,I-Disease
病,0
程,0
较,0
短,0
且,0
能,0
够,0
坚,0
持,0
饮,0
食,0
和,0
运,0
动,0
干,0
预,0
"
",0
的,0
患,0
者,0
使,0
用,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
治,0
疗,0
可,0
能,0
具,0
有,0
更,0
好,0
的,0
疗,0
效,0
。,0
"
",0
3,0
.,0
1,0
 ,0
目,0
前,0
常,0
用,0
的,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
有,0
哪,0
些,0
?,0
如,0
何,0
调,0
整,0
剂,0
量,0
?,0
"
",0
早,0
期,0
的,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
以,0
甲,B-Drug
苯,I-Drug
磺,I-Drug
丁,I-Drug
脲,I-Drug
和,0
氯,B-Drug
磺,I-Drug
丙,I-Drug
脲,I-Drug
为,0
"
",0
代,0
表,0
",",0
由,0
于,0
甲,B-Drug
苯,I-Drug
磺,I-Drug
丁,I-Drug
脲,I-Drug
增,0
加,0
T,B-Disease
2,I-Disease
D,I-Disease
M,I-Disease
患,0
者,0
心,B-Disease
血,I-Disease
管,I-Disease
事,I-Disease
件,I-Disease
"
",0
的,0
发,0
生,0
风,0
险,0
",",0
氯,B-Drug
磺,I-Drug
丙,I-Drug
脲,I-Drug
作,0
用,0
时,0
间,0
过,0
长,0
易,0
导,0
致,0
低,B-SideEff
血,I-SideEff
糖,I-SideEff
"
",0
等,0
原,0
因,0
",",0
临,0
床,0
上,0
已,0
基,0
本,0
淘,0
汰,0
。,0
新,0
一,0
代,0
磺,B-Drug
